,Numerical,,Extra Notes
image_url,Control1,Control2,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image478.jpg,6,3,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image336.jpg,3,2,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image450.jpg,3,7,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1781.jpg,3,2,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1795.jpg,6,2,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image444.jpg,1,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image322.jpg,3,4,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1018.jpg,9,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1024.jpg,6,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1742.jpg,6,2,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image493.jpg,9,5,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image487.jpg,9,3,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1756.jpg,10,3,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1030.jpg,10,8,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image108.jpg,7,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1583.jpg,10,7,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image652.jpg,8,2,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image134.jpg,8,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image120.jpg,6,2,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image646.jpg,10,4,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1597.jpg,10,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image875.jpg,9,2,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image861.jpg,8,3,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1568.jpg,3,2,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image691.jpg,9,10,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image849.jpg,2,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1540.jpg,5,3,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1226.jpg,3,3,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1232.jpg,3,2,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1554.jpg,4,5,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image685.jpg,5,5,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image726.jpg,2,5,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1391.jpg,5,2,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1385.jpg,2,2,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image732.jpg,7,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1408.jpg,7,3,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image901.jpg,3,4,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image915.jpg,9,5,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1434.jpg,7,5,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1352.jpg,3,2,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1346.jpg,3,9,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1420.jpg,5,5,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image929.jpg,5,4,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image63.jpg,3,6,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1811.jpg,6,3,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image518.jpg,5,4,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1805.jpg,4,4,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image77.jpg,8,6,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1193.jpg,4,4,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image242.jpg,8,4,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image524.jpg,4,3,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1839.jpg,5,2,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image530.jpg,4,2,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image256.jpg,9,5,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1187.jpg,1,2,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1178.jpg,7,4,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image281.jpg,6,2,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1150.jpg,8,5,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1636.jpg,7,7,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1622.jpg,9,4,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1144.jpg,9,3,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image88.jpg,2,1,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image295.jpg,7,4,
https://humor-dataset.s3.us-east-2.amazonaws.com/Renamed/image1623.jpg,9,4,
